,features,importance_vals
18,stage_ii,0.058629451934248206
16,age,0.04138135743291059
17,stage_i,0.03272234020754695
7,Z_8,0.02038932133698836
4,Z_5,0.017715675727522466
10,Z_11,0.015230582975818833
6,Z_7,0.009256464873396908
11,Z_12,0.008618944955305779
19,race_white,0.007375074026640505
2,Z_3,0.00697424027047191
1,Z_2,0.006238030245294794
12,Z_13,0.00566474378672865
9,Z_10,0.00446543943044162
14,Z_15,0.0038110468333798055
13,Z_14,0.003503553819573426
3,Z_4,0.002941407960770448
5,Z_6,0.002922809488209168
15,Z_16,0.002360058341146214
8,Z_9,0.0021596959593261997
0,Z_1,0.0010943089557531494
