,features,importance_vals
2534,ENSG00000187288,0.05766727491747588
2754,hsa.mir.139,0.02860351245442871
2796,hsa.mir.205,0.02337613846408203
2832,hsa.mir.31,0.02293037032475695
3070,hsa.mir.5683,0.022175275802146642
1098,ENSG00000175445,0.021764783844701013
2957,hsa.mir.4501,0.020033035438973456
2966,hsa.mir.455,0.019004714721259006
2899,hsa.mir.3677,0.01730553000321379
601,ENSG00000134962,0.016118730414382297
987,ENSG00000166851,0.016104116289061495
2753,hsa.mir.135b,0.01582758689270122
3099,hsa.mir.618,0.015553827228723094
2794,hsa.mir.203b,0.015432334836950758
2960,hsa.mir.452,0.01536880864208797
3130,hsa.mir.6716,0.015215870770916809
604,ENSG00000135218,0.014230387062707451
1525,ENSG00000099139,0.01409389409585856
3093,hsa.mir.598,0.014045792607503245
3091,hsa.mir.592,0.013982686570598162
3085,hsa.mir.577,0.013509093713073525
2383,ENSG00000171863,0.013507066777820001
2733,hsa.mir.126,0.013368817606533412
393,ENSG00000115414,0.013201285081595415
3089,hsa.mir.582,0.0131986186778704
2800,hsa.mir.210,0.01319836197028053
2866,hsa.mir.320b.1,0.013059831391251464
1755,ENSG00000118181,0.012999412326171295
2884,hsa.mir.3605,0.012921976913366962
2755,hsa.mir.142,0.012828886702736781
2883,hsa.mir.34a,0.012808818275952944
2879,hsa.mir.33b,0.012445936409203568
2880,hsa.mir.342,0.012408357731474098
2816,hsa.mir.27a,0.012388171318852982
2951,hsa.mir.4484,0.012293757394700152
2655,ENSG00000240065,0.011986577717470937
3116,hsa.mir.6510,0.011539249655943423
3189,hsa.mir.744,0.011524364263168536
1661,ENSG00000109475,0.011437960742787254
3206,hsa.mir.93,0.011408446673153777
2779,hsa.mir.187,0.011238539465266513
2874,hsa.mir.331,0.01119487743715581
3128,hsa.mir.664a,0.011184013996680732
3064,hsa.mir.551b,0.011181458875580575
2885,hsa.mir.3607,0.010946364276060194
2770,hsa.mir.155,0.01082400745304767
2893,hsa.mir.3653,0.010798768559334348
2990,hsa.mir.4724,0.010796504872851075
3071,hsa.mir.5684,0.01075343817981775
3143,hsa.mir.676,0.010532208973181696
3208,hsa.mir.935,0.010435711423342582
2805,hsa.mir.215,0.010344438303072821
982,ENSG00000166803,0.010131998337747063
2818,hsa.mir.296,0.009850567057583248
2704,hsa.mir.101.1,0.009723548703950655
2505,ENSG00000185187,0.009681496150151361
2705,hsa.mir.101.2,0.009668622733515804
659,ENSG00000138207,0.009629490106308368
2069,ENSG00000145675,0.009536466650024522
3102,hsa.mir.628,0.009517284276662395
2702,hsa.let.7g,0.009416683794433993
2741,hsa.mir.1284,0.009416149612661684
233,ENSG00000100448,0.00940970782394288
2658,ENSG00000241343,0.009209351704066648
2840,hsa.mir.3136,0.009138877837685869
2933,hsa.mir.412,0.00913619582366664
3119,hsa.mir.6513,0.009085987152939196
2826,hsa.mir.3065,0.009005022852727506
2869,hsa.mir.320c.2,0.008992778667670792
2706,hsa.mir.103a.1,0.008960188678474878
2707,hsa.mir.103a.2,0.008930389492452378
2783,hsa.mir.190b,0.008901918498668237
2936,hsa.mir.425,0.008865697669971268
1936,ENSG00000135437,0.008819657664280384
2959,hsa.mir.450a.2,0.008751735345867928
2363,ENSG00000170312,0.008705698680714705
2872,hsa.mir.328,0.008683015475644424
822,ENSG00000154027,0.00866874136729166
2913,hsa.mir.376c,0.008591371920774691
3060,hsa.mir.548s,0.008561499373463448
2870,hsa.mir.324,0.008547727942641359
3107,hsa.mir.642a,0.008405352500994922
162,ENSG00000082701,0.00839953121743747
2751,hsa.mir.130a,0.008375747973705074
2787,hsa.mir.193b,0.008373586079742382
