,features,importance_vals
16,age,0.2759282405395061
18,stage_ii,0.19159485943615437
17,stage_i,0.16539060145616533
4,Z_5,0.058095201011456085
7,Z_8,0.05787561624543741
1,Z_2,0.049012671934906396
8,Z_9,0.03331310484896676
2,Z_3,0.03179525029088836
15,Z_16,0.030385767240732095
11,Z_12,0.029461693635093978
10,Z_11,0.028896980415865983
3,Z_4,0.026657971121021546
6,Z_7,0.02588773968796886
0,Z_1,0.022803150564432145
13,Z_14,0.018266377846011893
12,Z_13,0.01045292100894585
19,race_white,0.008864482850767672
9,Z_10,0.006323119978051181
5,Z_6,0.004169521369622089
14,Z_15,8.475128526995946e-05
