,features,importance_vals
276,R-HSA-163560,0.08309489331441
312,R-HSA-174800,0.03495863909192849
118,R-HSA-418597,0.03166920240575564
294,R-HSA-174184,0.029304814550559968
142,R-HSA-179409,0.028583467989228666
132,R-HSA-381340,0.028460708605125548
94,R-HSA-456926,0.027948530362918972
133,R-HSA-422085,0.0272342150323675
123,R-HSA-114608,0.02689861130536883
433,R-HSA-1592389,0.026781755268166306
135,R-HSA-975634,0.025328084549983032
479,R-HSA-156711,0.024606126298895106
493,R-HSA-68962,0.024304935933832893
326,R-HSA-68877,0.02426554367877543
424,R-HSA-3000157,0.023130419948429334
278,R-HSA-193368,0.022953699389472604
542,R-HSA-418217,0.022849349066746072
448,R-HSA-3301854,0.02249450113857165
131,R-HSA-1483166,0.022074297553481302
504,R-HSA-381771,0.021243987213820217
92,R-HSA-375276,0.02108463421347551
507,R-HSA-3232118,0.020787893884116785
268,R-HSA-202433,0.019737087416142458
469,R-HSA-4608870,0.019320333592477253
4,R-HSA-1442490,0.018994444926211145
383,R-HSA-5654712,0.01847623403853504
80,R-HSA-2682334,0.018430662281389232
319,R-HSA-1650814,0.01813303509610705
329,R-HSA-2022870,0.018115782361710443
88,R-HSA-202733,0.018085352467605845
330,R-HSA-3560783,0.018067525150981964
228,R-HSA-2871837,0.01796397436351981
472,R-HSA-68827,0.017953641672211234
360,R-HSA-156827,0.017914206652349093
446,R-HSA-168276,0.01774968744837679
322,R-HSA-69273,0.017542333762103225
318,R-HSA-877300,0.017370048941811548
282,R-HSA-432040,0.017175706565612927
561,R-HSA-5223345,0.017144436849048362
240,R-HSA-400206,0.017122168497589883
38,R-HSA-5693616,0.01706211593816988
288,R-HSA-70263,0.01693391012668144
266,R-HSA-2672351,0.0168583028872672
182,R-HSA-76071,0.01674756501110096
556,R-HSA-69300,0.016693845354584482
280,R-HSA-163615,0.016644590772193622
25,R-HSA-1222556,0.016576809904436232
497,R-HSA-1799339,0.01625832957215607
252,R-HSA-2408557,0.01617938858922571
494,R-HSA-2453902,0.01589977381430799
279,R-HSA-163359,0.015810319440060994
7,R-HSA-380270,0.015747839509276673
290,R-HSA-174048,0.015567239164956845
387,R-HSA-449147,0.015525060857762583
271,R-HSA-201681,0.015457988659036345
509,R-HSA-352230,0.015443562244836357
460,R-HSA-1296041,0.01531612839033187
208,R-HSA-76042,0.015220105823718768
102,R-HSA-373753,0.01521081995422719
47,R-HSA-5685942,0.014953980456768932
354,R-HSA-5620924,0.014893132262532163
534,R-HSA-5218920,0.01485587605740875
153,R-HSA-210500,0.01472531286533922
35,R-HSA-176187,0.014714569293646491
442,R-HSA-2691232,0.014712217359920033
348,R-HSA-1461973,0.014552502809092403
231,R-HSA-5607764,0.014497393640340306
143,R-HSA-499943,0.014491166039078962
466,R-HSA-349425,0.014415021549793891
404,R-HSA-427359,0.014398377274628728
301,R-HSA-445095,0.01422436802298762
496,R-HSA-156902,0.014199564705741068
395,R-HSA-909733,0.014120917927939444
366,R-HSA-5362517,0.01394368714594748
298,R-HSA-176412,0.013897506232606247
678,hsa.mir.205,0.013894048461952479
59,R-HSA-611105,0.013734263161459238
410,R-HSA-5693571,0.013732606929115718
315,R-HSA-5576894,0.013686619844229427
14,R-HSA-1474228,0.013628671129577014
483,R-HSA-416572,0.0134937931978493
839,hsa.mir.4501,0.013388084863545374
421,R-HSA-933541,0.013285368218785152
307,R-HSA-5687128,0.013112230422557332
41,R-HSA-109688,0.012862685266882182
5,R-HSA-2565942,0.01283094699607318
575,R-HSA-1251985,0.012784603123145643
311,R-HSA-2129379,0.012743685000023106
313,R-HSA-418990,0.012729625460924581
467,R-HSA-350562,0.012623362217273098
215,R-HSA-983189,0.012501463537919335
836,hsa.mir.449a,0.012472303282702341
562,R-HSA-1234176,0.012341343552907346
12,R-HSA-5620912,0.012289945749216713
327,R-HSA-1483191,0.012249652407481335
635,hsa.mir.135b,0.012218930211965927
251,R-HSA-606279,0.012201431737485108
306,R-HSA-2559585,0.012065565382072237
165,R-HSA-5578749,0.011992792082910455
79,R-HSA-3214847,0.011794028522126609
368,R-HSA-2033519,0.011753241218975745
555,R-HSA-69298,0.011751619458664209
661,hsa.mir.187,0.01171068796349573
289,R-HSA-141430,0.011668831265851623
310,R-HSA-1660662,0.0116428906226065
761,hsa.mir.33b,0.011593230003782082
365,R-HSA-72706,0.011588808046944905
535,R-HSA-446193,0.011587799833796453
363,R-HSA-72695,0.011549908093875273
853,hsa.mir.4645,0.011487064083994483
53,R-HSA-2172127,0.011321912423300091
86,R-HSA-6782210,0.011151960216229781
714,hsa.mir.31,0.011146898832157604
17,R-HSA-422356,0.011086438369529788
952,hsa.mir.5683,0.011074216428387445
321,R-HSA-5694530,0.01105537088937126
248,R-HSA-2022854,0.011040049155853921
128,R-HSA-1482801,0.01102825605077669
46,R-HSA-1268020,0.010998658414464443
275,R-HSA-4641262,0.010896791849663714
254,R-HSA-168638,0.010823044641001615
417,R-HSA-1855204,0.010806592377484776
160,R-HSA-5696395,0.010759979762733565
201,R-HSA-72086,0.010743477903670282
18,R-HSA-194223,0.010659015590208583
532,R-HSA-202430,0.010594361275434495
101,R-HSA-2730905,0.010583080269789207
414,R-HSA-418457,0.010582665102338068
443,R-HSA-2979096,0.010562785756083031
682,hsa.mir.210,0.010557823165181618
1089,hsa.mir.934,0.0104504783480661
371,R-HSA-5654687,0.010445791579550133
541,R-HSA-392851,0.010379440916003659
998,hsa.mir.6510,0.010370513071757159
471,R-HSA-5658442,0.010365572679438629
550,R-HSA-372708,0.010336802621604874
427,R-HSA-5620922,0.010327487194444984
498,R-HSA-192823,0.010311625432223082
975,hsa.mir.598,0.01029272019979544
984,hsa.mir.628,0.010235160691372584
177,R-HSA-73863,0.010196507489308716
733,hsa.mir.3170,0.010121828514384106
478,R-HSA-180024,0.010089272867662657
293,R-HSA-174178,0.010078135615331121
113,R-HSA-416482,0.009963749921880663
178,R-HSA-73980,0.009955467280888116
317,R-HSA-3371571,0.009946347589720971
981,hsa.mir.618,0.009839728399165325
1012,hsa.mir.6716,0.00977338372162194
125,R-HSA-5626467,0.00973718376008037
152,R-HSA-181430,0.00971340150065771
138,R-HSA-2028269,0.00966365146188764
399,R-HSA-1266695,0.00964809748416883
637,hsa.mir.142,0.009540413222275675
857,hsa.mir.4652,0.009476403497392311
139,R-HSA-2022928,0.00944029030535603
103,R-HSA-375165,0.00941081305340049
267,R-HSA-3772470,0.009353240477212239
55,R-HSA-5617472,0.009338937376160174
751,hsa.mir.320c.2,0.009317358132975642
580,R-HSA-5358752,0.009301410639891402
901,hsa.mir.4797,0.009284047621040372
571,R-HSA-373752,0.009282917032542172
337,R-HSA-977606,0.009262121357023716
551,R-HSA-450302,0.009254884816182312
187,R-HSA-167160,0.009248209615470841
848,hsa.mir.455,0.009231755155560677
636,hsa.mir.139,0.009217433898011223
1071,hsa.mir.744,0.009163781770621427
157,R-HSA-432722,0.009160655402101838
57,R-HSA-983695,0.00915119137149304
359,R-HSA-1169408,0.00912719538253441
261,R-HSA-913709,0.009110886807902716
398,R-HSA-983170,0.00899713243925362
156,R-HSA-1445148,0.008954255620519689
374,R-HSA-5654693,0.00893902198964497
569,R-HSA-5099900,0.008908953709396882
516,R-HSA-69205,0.008889004572520207
931,hsa.mir.545,0.008859705505196871
642,hsa.mir.147b,0.008838415593054379
646,hsa.mir.151b,0.008801405673711998
51,R-HSA-912446,0.008788207423422137
544,R-HSA-373076,0.008724692680698354
892,hsa.mir.4777,0.008687846727552824
767,hsa.mir.3607,0.008663308420800604
343,R-HSA-982772,0.008619916144671152
58,R-HSA-5628897,0.008581038786032877
566,R-HSA-428540,0.008552914505125955
457,R-HSA-418592,0.008538976341951639
965,hsa.mir.574,0.008531947416449838
335,R-HSA-140875,0.00851720762133482
500,R-HSA-198753,0.008503866957325953
50,R-HSA-5693579,0.008460894799791277
344,R-HSA-5368286,0.008414610525651369
1054,hsa.mir.6854,0.008286828621794484
286,R-HSA-193807,0.008258540523820556
223,R-HSA-187577,0.008213014978682622
490,R-HSA-5656169,0.008188302295166068
314,R-HSA-5576892,0.00818327127606608
850,hsa.mir.4638,0.008172489878197665
43,R-HSA-72163,0.008164120592555264
748,hsa.mir.320b.1,0.008152555619781197
172,R-HSA-427413,0.008088823192083509
257,R-HSA-936440,0.00807928356778575
508,R-HSA-442660,0.008059582058340311
1090,hsa.mir.935,0.008045976579915078
425,R-HSA-3000178,0.008040708381013246
389,R-HSA-5423646,0.008008455183298792
26,R-HSA-381038,0.007963063866482116
106,R-HSA-3928662,0.007957196838178788
236,R-HSA-1810476,0.007945964535465463
393,R-HSA-416993,0.007923345761810197
183,R-HSA-112382,0.007921084642221103
93,R-HSA-416476,0.007902402201434598
742,hsa.mir.3193,0.007897589745698496
325,R-HSA-5663220,0.007884859796322417
517,R-HSA-166058,0.007829211795469746
436,R-HSA-383280,0.007827379537047818
760,hsa.mir.33a,0.007821114177677373
794,hsa.mir.376b,0.007813540206989274
423,R-HSA-70268,0.007748788176613743
122,R-HSA-5632684,0.0077204469289426925
862,hsa.mir.4664,0.007683410935424035
781,hsa.mir.3677,0.007668144150156877
492,R-HSA-5696400,0.00760690670038457
545,R-HSA-1963640,0.007571358997083734
56,R-HSA-198933,0.007557494697030051
244,R-HSA-2173796,0.007554502122948179
754,hsa.mir.328,0.007512153748975834
842,hsa.mir.452,0.007440128753369208
146,R-HSA-5358346,0.007436734541479382
281,R-HSA-164378,0.007434480520714715
214,R-HSA-194840,0.007359893397879205
144,R-HSA-3108214,0.0073591663723345845
792,hsa.mir.376a.1,0.007358005158830565
285,R-HSA-5365859,0.0073496313069335885
262,R-HSA-975956,0.007335990525898523
226,R-HSA-2122947,0.007305089080764446
540,R-HSA-428930,0.007289552907459438
48,R-HSA-5693554,0.007269735891022719
488,R-HSA-5655862,0.007266268045277684
91,R-HSA-420029,0.007213482494335039
667,hsa.mir.1910,0.007176768216813798
643,hsa.mir.148b,0.007168887859443203
511,R-HSA-937041,0.007159948661865201
111,R-HSA-5621575,0.007158530940250785
473,R-HSA-68949,0.007120846058824099
486,R-HSA-110320,0.007097809615370352
612,hsa.mir.1254.1,0.007095574078848585
98,R-HSA-1433557,0.00702825304470025
1026,hsa.mir.6761,0.0070278822470572775
429,R-HSA-75109,0.007020491135626798
914,hsa.mir.5003,0.00700629740516888
272,R-HSA-3238698,0.006986109223144013
263,R-HSA-1660514,0.0069793412441038075
145,R-HSA-6782315,0.006962665331957396
864,hsa.mir.4668,0.0069543327250721635
243,R-HSA-2173795,0.006953019165302976
367,R-HSA-109704,0.006939209224365186
589,hsa.mir.103a.2,0.006918472106463014
588,hsa.mir.103a.1,0.006914545368308609
1001,hsa.mir.6513,0.006882600933895446
806,hsa.mir.3922,0.006854997119662584
302,R-HSA-6807878,0.00685212473908905
620,hsa.mir.1271,0.0068317108756309605
796,hsa.mir.377,0.006816867120069219
32,R-HSA-936837,0.006801829330888722
416,R-HSA-1660499,0.006765941575577017
979,hsa.mir.615,0.006762669660165557
64,R-HSA-5654727,0.006762472757400246
273,R-HSA-373080,0.006725053481204668
192,R-HSA-167238,0.006721601980389096
396,R-HSA-2514859,0.0067178226727992296
970,hsa.mir.581,0.0067075428552925585
655,hsa.mir.16.2,0.006706238980495982
476,R-HSA-69481,0.006700543378829024
668,hsa.mir.1914,0.0066994580812752245
747,hsa.mir.3200,0.006690183910777705
120,R-HSA-5610785,0.006654200429620687
199,R-HSA-5601884,0.006637492325244239
397,R-HSA-3371453,0.0066363119141897185
419,R-HSA-205043,0.00663471071049571
546,R-HSA-210993,0.0066280559795268345
610,hsa.mir.1250,0.00661866559763439
832,hsa.mir.4470,0.0066144811509002465
320,R-HSA-204005,0.006605930153782537
418,R-HSA-381426,0.006604302543855738
1041,hsa.mir.6806,0.0066025501293188425
287,R-HSA-70171,0.006592295907612424
124,R-HSA-381676,0.006576407904794905
934,hsa.mir.548aw,0.006565214426955208
115,R-HSA-202040,0.006562807913869619
29,R-HSA-983712,0.006558744423091412
953,hsa.mir.5684,0.006554933764982706
766,hsa.mir.3605,0.006554680264162016
780,hsa.mir.3664,0.0065450539192534055
150,R-HSA-3214841,0.006544736108116922
503,R-HSA-1660661,0.006505699741260287
458,R-HSA-432142,0.0064734767728077715
179,R-HSA-749476,0.006454838808058412
621,hsa.mir.1277,0.00644767197110923
364,R-HSA-72702,0.006437206672562752
408,R-HSA-1221632,0.006403355851070955
950,hsa.mir.5586,0.00636981843106696
763,hsa.mir.345,0.006363436739629833
211,R-HSA-1632852,0.006355626153817866
552,R-HSA-156588,0.006351183887163643
444,R-HSA-419037,0.006350635488051921
349,R-HSA-1461957,0.006337594403739786
659,hsa.mir.184,0.006333512797136791
649,hsa.mir.153.2,0.006325154815276619
662,hsa.mir.188,0.006307867573341354
817,hsa.mir.424,0.0062885420958627945
81,R-HSA-3928663,0.0062782753826468255
712,hsa.mir.30c.1,0.006251792842485884
249,R-HSA-4085001,0.0062375438047456554
731,hsa.mir.3158.1,0.006181200178107246
229,R-HSA-2894862,0.006171230406471296
190,R-HSA-167172,0.006170635571911589
807,hsa.mir.3926.1,0.006164293941965298
1091,hsa.mir.937,0.006138208196643973
430,R-HSA-166016,0.006131192406282935
20,R-HSA-196741,0.006125090763234766
60,R-HSA-1236382,0.00612227139143215
297,R-HSA-176409,0.0060886581559316255
171,R-HSA-1834949,0.006085910073597916
1068,hsa.mir.7.1,0.0060854068033222575
151,R-HSA-181429,0.006073412462374108
6,R-HSA-380259,0.006071375935571268
218,R-HSA-380972,0.006046731716342037
884,hsa.mir.4753,0.006011539737228304
838,hsa.mir.449c,0.00600265604807646
611,hsa.mir.1251,0.005984791078008129
196,R-HSA-167287,0.005956317679374479
175,R-HSA-73777,0.005908836548751423
706,hsa.mir.301b,0.005900874844505779
618,hsa.mir.1269b,0.0058888982309144924
837,hsa.mir.449b,0.005872378831263632
299,R-HSA-2467813,0.005867785707814619
435,R-HSA-2426168,0.005866495623486116
89,R-HSA-216083,0.005828580931702163
710,hsa.mir.30a,0.005814964538003551
793,hsa.mir.376a.2,0.00578857843123842
174,R-HSA-73772,0.005754307342867832
502,R-HSA-168928,0.005731230292640248
456,R-HSA-1482922,0.00571140368891065
166,R-HSA-6784531,0.005708507557137636
149,R-HSA-901032,0.005698768917500274
13,R-HSA-5673001,0.0056626476580277085
3,R-HSA-418555,0.00566044031275851
967,hsa.mir.577,0.005647788322094129
573,R-HSA-196299,0.005640243115740304
219,R-HSA-193648,0.005633639056468382
105,R-HSA-389513,0.005622754195937887
973,hsa.mir.592,0.005613532590214163
654,hsa.mir.16.1,0.005612806609924519
980,hsa.mir.616,0.005564858572042795
482,R-HSA-5627123,0.0055614086965215396
880,hsa.mir.4743,0.005546052269637585
69,R-HSA-5250924,0.005529825314297341
590,hsa.mir.105.1,0.005525522452771838
713,hsa.mir.30c.2,0.0055194126966671316
567,R-HSA-416700,0.005518060235626763
666,hsa.mir.191,0.005514024951608008
723,hsa.mir.3140,0.005511306776461424
1049,hsa.mir.6822,0.005500802078749985
598,hsa.mir.1185.2,0.005496788551499776
2,R-HSA-975298,0.005491733432863839
333,R-HSA-6788467,0.005487927594804205
718,hsa.mir.3127,0.00548666267291992
119,R-HSA-4086398,0.005482194549695123
737,hsa.mir.3183,0.005481895529665053
27,R-HSA-77387,0.005473724166336069
993,hsa.mir.6506,0.00546268794380012
1074,hsa.mir.767,0.005430050806317013
485,R-HSA-110312,0.005398278926440981
872,hsa.mir.4724,0.0053970048724295335
553,R-HSA-70221,0.005393037157882645
675,hsa.mir.202,0.005369967310980428
205,R-HSA-73779,0.005357055178901646
462,R-HSA-5675221,0.005320990313193761
225,R-HSA-202424,0.005319634948682506
859,hsa.mir.4658,0.005316496594105047
328,R-HSA-1971475,0.005306052096420899
1053,hsa.mir.6852,0.005260764774284325
36,R-HSA-5685938,0.005253453000295849
686,hsa.mir.2116,0.005249863211356569
785,hsa.mir.3682,0.005225061460423603
822,hsa.mir.4423,0.005212336112235789
362,R-HSA-72689,0.0052056985642411745
377,R-HSA-5654700,0.005203769289510092
407,R-HSA-977225,0.005195204506235313
379,R-HSA-5654228,0.005176287633294124
97,R-HSA-1257604,0.00516174803924514
461,R-HSA-997272,0.005155049573222641
676,hsa.mir.203b,0.0051493633651989515
148,R-HSA-5678895,0.0051249533778900515
246,R-HSA-975957,0.005124482824758161
439,R-HSA-450321,0.005107914521649945
250,R-HSA-977068,0.0050873981778568125
983,hsa.mir.627,0.005061325512506301
403,R-HSA-3247509,0.005052944069320802
1017,hsa.mir.6733,0.005042147204094362
107,R-HSA-3928664,0.005035158767859684
31,R-HSA-5578775,0.005017520735564176
432,R-HSA-166663,0.005017150587664218
999,hsa.mir.6511b.1,0.005016535353024665
438,R-HSA-2871796,0.00497723001470149
617,hsa.mir.1269a,0.004950706534436904
929,hsa.mir.542,0.004924876433210557
698,hsa.mir.27a,0.0048769027586604355
72,R-HSA-450513,0.004860544822586235
623,hsa.mir.1284,0.004835539462819724
749,hsa.mir.320b.2,0.004834031223726925
255,R-HSA-5357905,0.004772670046513668
464,R-HSA-180585,0.0047682909505965656
633,hsa.mir.130a,0.004757983043673448
74,R-HSA-212300,0.004754133357018873
34,R-HSA-1912420,0.004751844900019933
463,R-HSA-1236978,0.004743583153322106
810,hsa.mir.3934,0.0047257438173983245
966,hsa.mir.576,0.004723786412359914
191,R-HSA-167200,0.004715353742940351
735,hsa.mir.3174,0.004714686813822482
701,hsa.mir.299,0.004701602651075518
581,hsa.let.7d,0.00469502112504415
480,R-HSA-5625740,0.0046918551524868235
728,hsa.mir.3154,0.00468629612470977
664,hsa.mir.18b,0.004683335185079613
40,R-HSA-69473,0.0046804896071262194
291,R-HSA-174084,0.00466853448200709
141,R-HSA-1169091,0.004649991352289362
514,R-HSA-3000170,0.004645819369179662
185,R-HSA-167152,0.004642427277794923
690,hsa.mir.224,0.00463026668447128
570,R-HSA-140534,0.0046281228202860805
1043,hsa.mir.6808,0.004618772658022863
1007,hsa.mir.656,0.004596641069174439
868,hsa.mir.4690,0.004588303128257394
606,hsa.mir.1243,0.004587478847242892
775,hsa.mir.3653,0.004572072083647072
639,hsa.mir.1468,0.004553024574415758
800,hsa.mir.3910.2,0.0045482369931414725
95,R-HSA-114604,0.004540959297728477
169,R-HSA-5676590,0.004526072014814417
121,R-HSA-5610787,0.004515309824200813
283,R-HSA-389661,0.004513782726298814
957,hsa.mir.5694,0.004508814506407361
820,hsa.mir.4326,0.004500077662414697
23,R-HSA-917937,0.0044927158995415085
702,hsa.mir.29b.1,0.0044856605239328926
305,R-HSA-2559580,0.004477247078393702
647,hsa.mir.152,0.004467695734797416
253,R-HSA-2032785,0.004454894941300153
795,hsa.mir.376c,0.004439345130249421
871,hsa.mir.4709,0.004432264297865913
823,hsa.mir.4424,0.004418577442702371
380,R-HSA-5654704,0.004411594436860468
28,R-HSA-917977,0.004406540837480861
533,R-HSA-420092,0.0044016233536240176
722,hsa.mir.3136,0.004386891619069502
995,hsa.mir.6508,0.00437202083721786
752,hsa.mir.324,0.004359303593519144
891,hsa.mir.4775,0.004353344071423635
734,hsa.mir.3173,0.004345192394466722
468,R-HSA-450408,0.004333942188241053
358,R-HSA-1963642,0.004333508591807913
739,hsa.mir.3188,0.004330062490771525
1021,hsa.mir.6741,0.004329452879610471
277,R-HSA-70895,0.004304120680244523
619,hsa.mir.1270,0.004290395410356496
137,R-HSA-983231,0.004290353743126616
574,R-HSA-3322077,0.004262523235083791
918,hsa.mir.503,0.0042599261506984475
660,hsa.mir.185,0.004230331357575778
721,hsa.mir.3130.2,0.0042279384711218886
1095,hsa.mir.96,0.004221201631880831
402,R-HSA-3214842,0.004218070380447898
944,hsa.mir.550a.2,0.0041964243049187645
